Year,Month,Fieldwork,,Published,,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,Con lead,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,UKIP good,UKIP bad,UKIP net,Grn good,Grn bad,Grn net,Question,Con Best PM,Lab Best PM,LD Best PM,UKIP Best PM,Question,Govt good,Govt bad,Govt net,Question,,,,,,,,
,Jan,15-17,15/1/16,18,,ICM,Gu,40.0,1.0,35.0,1.0,6.0,-1.0,10.0,0.0,3.0,0.0,5.0,0.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,15-18,15/1/16,,,Sky,,,,,,,,,,,,,,Internet,,,,45.0,51.0,-6.0,28.0,62.0,-34.0,15.0,45.0,-30.0,33.0,51.0,-18.0,,,,Are you satisfied or disatisfied with the performance of X as Y?,,,,,,,,,,,,,,,,,
,Jan,22-24,22/1/16,30,,ComRes,DM,37.0,0.0,32.0,-1.0,6.0,-1.0,12.0,1.0,4.0,-1.0,5.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,23-25,23/1/16,28,,Ipsos MORI,ES,40.0,2.0,31.0,0.0,7.0,-2.0,11.0,2.0,4.0,-2.0,9.0,2.0,Phone,,,,42.0,51.0,-9.0,31.0,49.0,-18.0,22.0,32.0,-10.0,31.0,49.0,-18.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,36.0,56.0,-20.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Jan,27-28,27/1/16,31,,YouGov,,39.0,0.0,30.0,1.0,6.0,0.0,17.0,0.0,3.0,0.0,9.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,3-4,3/2/16,5,,YouGov,TT,39.0,0.0,29.0,-1.0,6.0,0.0,18.0,1.0,3.0,0.0,10.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,10-12,10/2/16,13,,ComRes,IoS/SM,41.0,1.0,27.0,-2.0,9.0,2.0,15.0,-1.0,3.0,0.0,14.0,3.0,Internet,,,,31.0,48.0,-17.0,21.0,50.0,-29.0,,,,24.0,49.0,-25.0,,,,Please indicate whether you have a favourable or unfavourable view of ,,,,,,,,,,,,,,,,,
,Feb,11-12,11/2/16,15,,YouGov,,,,,,,,,,,,,,Internet,,,,39.0,53.0,-14.0,25.0,59.0,-34.0,,,,,,,,,,Do you think X is doing well or badly as… ,,,,,,,,,,,,,,,,,
,Feb,12-14,12/2/16,16,,ICM,Gu,39.0,-1.0,32.0,-3.0,7.0,1.0,11.0,1.0,4.0,1.0,7.0,2.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,13-16,13/2/16,17,,Ipsos MORI,ES,39.0,-1.0,33.0,2.0,6.0,-1.0,12.0,1.0,3.0,-1.0,6.0,-3.0,Phone,,,,39.0,54.0,-15.0,30.0,51.0,-21.0,20.0,34.0,-14.0,33.0,48.0,-15.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,34.0,60.0,-26.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
