Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,,,
,Apr,26,28,MORI,DE,44.0,-2.0,41.0,1.0,12.0,1.0,3.0,-3.0,,,,,
,Apr,27-28,,Marplan,LWT,53.0,0.0,40.0,-1.0,7.0,1.0,13.0,1.0,,Panel survey,,,
,Apr,29-30,1,NOP,DM,42.4,-5.6,43.1,1.1,12.2,4.2,-0.7,-6.7,,,,,
,Apr,29-1,3,MORI,DE,44.4,,38.8,,13.5,,5.6,2.6,,Panel survey,,,
,May,1,3,Marplan,Sun,45.0,-3.0,38.5,-1.5,13.5,3.5,6.5,-1.5,,,,,
,May,1-2,3,NOP,DM,46.0,3.6,39.0,-4.1,12.5,0.3,7.0,7.7,,,,,
,May,1-2,3,Gallup,DT,43.0,-5.0,41.0,1.0,13.5,3.0,2.0,-6.0,,,,,
,May,2,3,MORI,ES,45.0,1.0,37.0,-4.0,15.0,3.0,8.0,5.0,,,,,
,,,,,,,,,,,,,,,,,,
,May,2-3,4,Gallup,BBC,45.6,2.6,37.9,-3.1,13.5,0.0,7.7,5.7,,Fieldwork includes polling day,,,
,May,3,3,ORC,ITN,44.0,,38.0,,14.0,,6.0,,,Fieldwork on polling day,,,
,,,,,,,,,,,,,,,,,,
,,,,Result,,44.9,,37.7,,14.1,,7.2,,,,,,
