,,Government,,,Prime Minister,,,,Opposition leader,,,,LibDem leader,,,,Best econ,,,Trust,,,,,,,,,,,,
,,Approval,Disapproval,,Good job,Bad job,,Best PM,Good job,Bad job,,Best PM,Good job,Bad job,,Best PM,Con,Lab,,Yes,No,,,,,,,,,,,
,A,54.4,38.1,16.3,67.0,30.0,37.0,55.2,29.0,57.0,-28.0,12.8,,,,18.3,34.1,51.7,-17.6,54.7,41.5,13.2,3.1,,,,,,,,,
,S,53.3,35.8,17.5,68.0,27.0,41.0,55.0,28.0,55.0,-27.0,12.4,,,,17.3,32.2,51.6,-19.4,54.0,40.7,13.3,4.2,,,,,,,,,
,O,55.6,35.6,20.0,67.0,29.0,38.0,57.4,32.0,56.0,-24.0,12.4,,,,17.0,30.5,55.1,-24.6,56.2,39.3,16.9,3.1,,,,,,,,,
,N,54.7,36.2,18.5,65.0,30.0,35.0,57.4,33.0,54.0,-21.0,12.7,,,,17.5,31.6,54.1,-22.5,54.2,41.1,13.1,5.4,,,,,,,,,
,D,53.2,36.0,17.2,66.0,29.0,37.0,55.7,33.0,56.0,-23.0,12.9,,,,15.9,31.0,52.8,-21.8,53.4,41.2,12.2,5.0,,,,,,,,,
1999,J,51.8,39.0,12.8,65.0,30.0,35.0,54.5,31.0,56.0,-25.0,13.4,,,,17.4,31.2,52.3,-21.1,49.8,45.3,4.5,8.3,,,,,,,,,
,F,50.3,37.3,13.0,63.0,34.0,29.0,52.6,28.0,60.0,-32.0,11.8,,,,18.2,30.1,52.0,-21.9,49.7,44.2,5.5,7.5,,,,,,,,,
,M,50.3,37.1,13.2,67.0,28.0,39.0,51.1,32.0,56.0,-24.0,12.7,,,,19.5,30.6,50.6,-20.0,48.4,45.9,2.5,10.7,,,,,,,,,
,A,56.5,35.7,20.8,66.0,31.0,35.0,56.4,32.0,58.0,-26.0,12.9,,,,19.3,30.0,56.0,-26.0,54.8,41.3,13.5,7.3,,,,,,,,,
,M,56.5,36.3,20.2,65.0,31.0,34.0,56.6,26.0,62.0,-36.0,12.2,,,,19.4,31.3,55.7,-24.4,53.3,43.1,10.2,10.0,,,,,,,,,
,J,51.6,37.2,14.4,62.0,32.0,30.0,52.4,32.0,54.0,-22.0,11.1,,,,20.7,32.6,50.5,-17.9,50.1,44.5,5.6,8.8,,,,,,,,,
,J,52.9,38.5,14.4,66.0,32.0,34.0,54.1,32.0,55.0,-23.0,13.4,,,,18.9,32.3,53.3,-21.0,51.0,44.5,6.5,7.9,,,,,,,,,
Kennedy,A,53.0,40.7,12.3,64.0,33.0,31.0,59.0,27.0,62.0,-35.0,13.0,,,,13.0,31.9,53.1,-21.2,52.6,44.3,8.3,4.0,,,,,,,,,
,S,51.8,42.4,9.4,65.0,32.0,33.0,57.3,29.0,60.0,-31.0,14.7,51.0,15.0,36.0,13.8,32.4,53.5,-21.1,49.2,47.5,1.7,7.7,,,,,,,,,
,O,52.9,39.9,13.0,63.0,34.0,29.0,57.4,36.0,57.0,-21.0,15.9,54.0,15.0,39.0,11.4,31.4,54.1,-22.7,49.5,46.6,2.9,10.1,,,,,,,,,
,N,51.3,41.5,9.8,61.0,33.0,28.0,56.5,32.0,54.0,-22.0,16.5,58.0,18.0,40.0,11.5,32.0,52.8,-20.8,49.1,46.8,2.3,7.5,,,,,,,,,
,D,52.1,39.8,12.3,,,,57.2,,,,14.5,,,,10.5,28.8,53.4,-24.6,48.5,47.4,1.1,11.2,,,,,,,,,
2000,J,49.1,42.4,6.7,62.0,33.0,29.0,54.2,25.0,62.0,-37.0,14.2,,,,11.6,28.9,52.1,-23.2,45.3,49.7,-4.4,11.1,,,,,,,,,
,F,47.0,46.5,0.5,55.0,42.0,13.0,53.9,30.0,60.0,-30.0,16.0,43.0,24.0,19.0,12.5,31.7,51.4,-19.7,44.0,52.3,-8.3,8.8,,,,,,,,,
,M,44.8,47.6,-2.8,54.0,43.0,11.0,52.8,30.0,60.0,-30.0,18.0,45.0,26.0,19.0,12.1,32.6,50.0,-17.4,42.6,53.3,-10.7,7.9,,,,,,,,,
,A,44.2,46.8,-2.6,54.0,42.0,12.0,50.6,28.0,53.0,-25.0,18.2,45.0,24.0,21.0,12.2,33.9,48.0,-14.1,42.7,52.5,-9.8,7.2,,,,,,,,,
,M,39.4,47.9,-8.5,52.0,44.0,8.0,46.6,33.0,54.0,-21.0,17.5,47.0,20.0,27.0,12.2,36.8,43.6,-6.8,41.4,52.8,-11.4,2.9,,,,,,,,,
,J,38.4,49.6,-11.2,55.0,40.0,15.0,45.4,36.0,52.0,-16.0,20.2,42.0,22.0,20.0,12.2,35.3,42.6,-7.3,39.3,53.8,-14.5,3.3,,,,,,,,,
,J,42.2,51.8,-9.6,47.0,49.0,-2.0,48.5,38.0,48.0,-10.0,21.7,41.0,21.0,20.0,12.7,36.7,46.7,-10.0,41.3,54.7,-13.4,3.8,,,,,,,,,
,A,45.5,47.6,-2.1,52.0,45.0,7.0,51.1,37.0,51.0,-14.0,20.4,47.0,24.0,23.0,13.7,35.2,49.6,-14.4,42.7,53.4,-10.7,8.6,,,,,,,,,
,S,34.5,60.9,-26.4,45.0,52.0,-7.0,39.1,34.0,55.0,-21.0,24.1,47.0,22.0,25.0,18.7,42.1,41.1,1.0,35.8,61.2,-25.4,-1.0,,,,,,,,,
,O,36.7,57.3,-20.6,38.0,59.0,-21.0,42.5,34.0,56.0,-22.0,24.0,55.0,20.0,35.0,16.7,39.4,44.4,-5.0,37.0,60.1,-23.1,2.5,,,,,,,,,
,N,39.2,53.3,-14.1,45.0,51.0,-6.0,43.4,37.0,52.0,-15.0,23.7,46.0,23.0,23.0,14.6,36.2,45.9,-9.7,38.9,57.6,-18.7,4.6,,,,,,,,,
,D,43.8,48.1,-4.3,49.0,48.0,1.0,47.3,37.0,56.0,-19.0,22.0,51.0,21.0,30.0,13.4,36.7,47.9,-11.2,42.4,54.3,-11.9,7.6,,,,,,,,,
2001,J,44.2,46.3,-2.1,,,,48.5,,,,18.6,,,,12.6,31.7,50.2,-18.5,41.5,53.8,-12.3,10.2,,,,,,,,,
,F,44.4,46.4,-2.0,,,,46.8,,,,21.6,,,,12.9,31.2,49.7,-18.5,40.8,54.9,-14.1,12.1,,,,,,,,,
,M,50.1,42.9,7.2,,,,50.8,32.0,,,18.1,54.0,21.0,33.0,13.2,31.2,52.7,-21.5,43.8,52.4,-8.6,15.8,,,,,,,,,
,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
